Hotel Name,Original price,Price after discount,Tax,Rating,location
Dee Mansion,Rp 358.938,Rp 183.058,Inclusive of taxes,8.1,"West Denpasar, Bali"
Dee Mansion,Rp 358.938,Rp 183.058,Inclusive of taxes,8.1,"West Denpasar, Bali"
Villa Ambara Bali,Rp 6.496.875,Rp 5.197.500,Inclusive of taxes,n/a,"Canggu, Bali"
Puri Saron Seminyak,Rp 2.880.000,Rp 1.497.600,Inclusive of taxes,8.3,"Seminyak, Bali"
KajaNe Yangloni at Ubud Bali,Rp 1.784.500,Rp 1.338.375,Inclusive of taxes,9.1,"Ubud, Bali"
The Leaf Jimbaran Luxury Villas,Rp 4.725.000,Rp 2.835.000,Inclusive of taxes,8.3,"Jimbaran, Bali"
Aria Exclusive Villa & Spa,Rp 3.600.000,Rp 2.700.000,Inclusive of taxes,8.8,"Seminyak, Bali"
Black Penny Villas Ubud,Rp 7.978.667,Rp 5.984.000,Inclusive of taxes,8.8,"Kedewatan, Bali"
Komaneka at Monkey Forest,Rp 5.400.000,Rp 3.780.000,Inclusive of taxes,9.2,"Monkey Forest, Bali"
Maya Ubud Resort & Spa,Rp 15.622.149,Rp 9.841.954,Inclusive of taxes,8.9,"Ubud, Bali"
The Ayu Kintamani Villa at Toya Devasya,Rp 2.905.000,Rp 1.888.250,Inclusive of taxes,8.3,"Kintamani, Bali"
Radisson Blu Bali Uluwatu,Rp 3.375.900,Rp 2.869.515,Inclusive of taxes,8.5,"Pecatu, Bali"
The Sawah Villa,Rp 588.000,Rp 441.000,Inclusive of taxes,8.6,"Kemenuh, Bali"
Hotel Mandari,Rp 380.000,Rp 285.000,Inclusive of taxes,8.6,"Singaraja, Bali"
Graha Socio  Hotel Nusa Dua,Rp 1.641.751,Rp 816.751,Inclusive of taxes,n/a,"Nusa Dua, Bali"
Senetan Villas and Spa Resort,Rp 2.430.000,Rp 1.701.000,Inclusive of taxes,8.7,"Payangan, Bali"
Legian Beach Hotel,Rp 3.082.556,Rp 2.115.992,Inclusive of taxes,8.4,"Legian, Bali"
Bali Golden Elephant,Rp 540.000,Rp 270.000,Inclusive of taxes,7.9,"Jimbaran, Bali"
BALQUISSE Heritage Hotel,Rp 1.620.000,Rp 1.296.000,Inclusive of taxes,9.0,"Jimbaran, Bali"
Adhi Jaya Hotel,Rp 1.854.000,Rp 778.680,Inclusive of taxes,8.7,"Kuta, Bali"
ibis Bali Legian Street,Rp 696.960,Rp 522.720,Inclusive of taxes,8.6,"Legian, Bali"
Kampi Villas by Premier Hospitality Asia,Rp 6.120.000,Rp 3.060.000,Inclusive of taxes,7.6,"Nusa Dua Beach, Bali"
Inna Sindhu Beach Hotel & Resort,Rp 1.197.000,Rp 897.750,Inclusive of taxes,8.6,"Sanur, Bali"
Bintang Kuta Hotel,Rp 1.530.000,Rp 765.000,Inclusive of taxes,8.7,"Kuta, Bali"
Odika Lovina House and Villas,Rp 1.472.500,Rp 515.375,Inclusive of taxes,8.6,"Lovina, Bali"
Kampung Cenik,Rp 728.333,Rp 546.250,Inclusive of taxes,8.9,"Legian, Bali"
Ananta Legian Hotel,Rp 625.050,Rp 562.545,Inclusive of taxes,8.0,"Legian, Bali"
Bali Mandira Beach Resort & Spa,Rp 5.890.000,Rp 4.417.500,Inclusive of taxes,8.3,"Legian, Bali"
Komaneka at Rasa Sayang,Rp 2.700.000,Rp 1.890.000,Inclusive of taxes,9.1,"Monkey Forest, Bali"
Hotel Grand Santhi,Rp 900.000,Rp 315.000,Inclusive of taxes,8.0,"West Denpasar, Bali"
Grand Mirah Boutique Hotel,Rp 607.500,Rp 388.800,Inclusive of taxes,8.5,"East Denpasar, Bali"
Ramayana Suites & Resort,Rp 1.710.000,Rp 1.248.300,Inclusive of taxes,8.6,"Kuta, Bali"
Keraton Jimbaran Resort,Rp 780.079,Rp 631.864,Inclusive of taxes,8.3,"Jimbaran, Bali"
Inna Bali Heritage Hotel,Rp 693.000,Rp 381.150,Inclusive of taxes,8.3,"North Denpasar, Bali"
Alam Sembuwuk Resort Ubud,Rp 765.000,Rp 367.200,Inclusive of taxes,8.5,"Tampaksiring, Bali"
The Rinaya Canggu by ecommerceloka,Rp 1.544.013,Rp 783.693,Inclusive of taxes,8.0,"Canggu, Bali"
Hideaway Villas Bali Uluwatu by Kanaan Hospitality,Rp 3.438.000,Rp 2.750.400,Inclusive of taxes,8.8,"Pecatu, Bali"
Melasti Kuta Bungalows and Spa,Rp 850.000,Rp 280.500,Inclusive of taxes,7.9,"Kuta, Bali"
Serela Legian by KAGUM Hotels,Rp 454.500,Rp 386.325,Inclusive of taxes,8.4,"Legian, Bali"
Villa Harmony Residence,Rp 2.940.000,Rp 2.205.000,Inclusive of taxes,8.0,"Seminyak, Bali"
Bali Sandy Resort,Rp 1.109.822,Rp 680.400,Inclusive of taxes,8.0,"Poppies, Bali"
Wirton Seminyak Boutique Hotel,Rp 468.000,Rp 351.000,Inclusive of taxes,8.3,"Seminyak, Bali"
Adi Assri Beach Resort & Spa,Rp 799.077,Rp 647.253,Inclusive of taxes,8.4,"Pemuteran, Bali"
Goya Boutique Resort,Rp 6.850.994,Rp 5.001.226,Inclusive of taxes,8.8,"Ubud, Bali"
OYO 1654 Maha Bharata Kuta Inn,Rp 357.452,Rp 178.726,Inclusive of taxes,7.8,"Legian, Bali"
Mahagiri Resort Nusa Lembongan,Rp 1.099.156,Rp 754.540,Inclusive of taxes,8.8,"Nusa Lembongan, Bali"
Yucca Villas,Rp 5.750.000,Rp 2.875.000,Inclusive of taxes,9.2,"Canggu, Bali"
Grand La Walon Hotel,Rp 630.000,Rp 504.000,Inclusive of taxes,8.7,"Legian, Bali"
Beautiful Bali Villas,Rp 3.120.300,Rp 2.496.240,Inclusive of taxes,8.6,"Legian, Bali"
Bali Rani Hotel,Rp 2.250.000,Rp 945.000,Inclusive of taxes,8.6,"Kuta, Bali"
Lasanti Villas and Spa Seminyak,Rp 2.936.000,Rp 1.556.080,Inclusive of taxes,8.9,"Seminyak, Bali"
Kuta Central Park Hotel,Rp 1.794.000,Rp 717.600,Inclusive of taxes,8.3,"Kuta, Bali"
Ubud Hills Villa and Resort,Rp 4.440.000,Rp 1.514.928,Inclusive of taxes,8.7,"Tegallalang, Bali"
Nusa Majesty,Rp 625.500,Rp 375.300,Inclusive of taxes,8.4,"Nusa Penida, Bali"
Jas Boutique Villas,Rp 4.095.000,Rp 1.269.450,Inclusive of taxes,8.5,"Seminyak, Bali"
Coco De Heaven,Rp 450.000,Rp 202.500,Inclusive of taxes,8.1,"Jimbaran, Bali"
Adiwana Dara Ayu Villas,Rp 3.820.431,Rp 3.094.549,Inclusive of taxes,8.6,"Payangan, Bali"
The Magani Hotel and Spa,Rp 1.455.345,Rp 1.353.471,Inclusive of taxes,8.5,"Legian, Bali"
Bayad Ubud Bali Villa,Rp 1.773.334,Rp 1.330.001,Inclusive of taxes,8.0,"Payangan, Bali"
Kubu GWK Resort,Rp 1.755.000,Rp 614.250,Inclusive of taxes,8.8,"Jimbaran, Bali"
"The Lokha Ubud Resort, Villas & Spa",Rp 1.681.569,Rp 870.400,Inclusive of taxes,8.8,"Payangan, Bali"
Wina Holiday Villa Kuta Bali,Rp 917.563,Rp 743.226,Inclusive of taxes,8.3,"Kuta, Bali"
Gending Kedis Luxury Villas & Spa Estate,Rp 11.340.000,Rp 6.463.800,Inclusive of taxes,8.7,"Jimbaran, Bali"
Plagoo Holiday Hotel,Rp 669.031,Rp 459.285,Inclusive of taxes,8.3,"Nusa Dua, Bali"
Nesa Sanur,Rp 710.285,Rp 484.877,Inclusive of taxes,8.3,"Sanur, Bali"
Hotel Sorga Cottages Kuta,Rp 238.621,Rp 208.249,Inclusive of taxes,8.0,"Poppies, Bali"
Argya Santi Resort,Rp 660.000,Rp 495.000,Inclusive of taxes,8.7,"Jimbaran, Bali"
The Diana Suite Hotel,Rp 710.775,Rp 355.388,Inclusive of taxes,8.7,"Tuban, Bali"
Rantun's Place,Rp 836.104,Rp 568.551,Inclusive of taxes,8.0,"Nusa Dua Beach, Bali"
Tropico Jimbaran Bali,Rp 323.760,Rp 226.632,Inclusive of taxes,8.8,"Jimbaran, Bali"
Gana Hotel & Restaurant,Rp 1.260.000,Rp 630.000,Inclusive of taxes,8.9,"Monkey Forest, Bali"
Peppers Seminyak,Rp 15.246.000,Rp 11.434.500,Inclusive of taxes,8.3,"Seminyak, Bali"
Taman Harum Cottages,Rp 1.759.500,Rp 1.055.700,Inclusive of taxes,8.2,"Ubud, Bali"
Mutiara Bali Boutique Resort Villas and Spa,Rp 1.811.350,Rp 905.675,Inclusive of taxes,8.8,"Seminyak, Bali"
OYO 1200 Kencana Residence,Rp 257.643,Rp 200.962,Inclusive of taxes,8.3,"Jimbaran, Bali"
The Hill Ungasan Bukit Jimbaran,Rp 630.000,Rp 214.200,Inclusive of taxes,8.3,"Jimbaran, Bali"
Karang Lila Bhuana Ubud,Rp 682.521,Rp 511.891,Inclusive of taxes,9.3,"Ubud, Bali"
The Alantara Sanur,Rp 1.362.060,Rp 934.973,Inclusive of taxes,8.8,"Sanur, Bali"
Destiny Boutique Hotel,Rp 1.449.459,Rp 565.289,Inclusive of taxes,8.4,"Seminyak, Bali"
Kuwarasan A Pramana Experience,Rp 2.439.000,Rp 1.829.250,Inclusive of taxes,9.0,"Tegallalang, Bali"
OYO 2184 Nan Berlian Inn,Rp 228.042,Rp 143.666,Inclusive of taxes,7.0,"Legian, Bali"
Tanadewa Resort & Spa Ubud,Rp 3.972.152,Rp 1.866.911,Inclusive of taxes,8.7,"Ubud, Bali"
Dinara Ubud,Rp 2.923.044,Rp 1.153.153,Inclusive of taxes,8.8,"Ubud, Bali"
Samuh Ocean Sunset Hotel by WizZeLa,Rp 1.099.687,Rp 769.781,Inclusive of taxes,8.1,"Nusa Penida, Bali"
Omatha Village,Rp 612.000,Rp 336.600,Inclusive of taxes,8.7,"East Denpasar, Bali"
The Awan Villas,Rp 4.652.458,Rp 1.628.360,Inclusive of taxes,8.6,"Seminyak, Bali"
Alam Kulkul Boutique Resort,Rp 1.783.710,Rp 981.041,Inclusive of taxes,8.4,"Legian, Bali"
"Abian Srama Hotel, Massage And Spa",Rp 173.333,Rp 130.000,Inclusive of taxes,7.5,"Sanur, Bali"
Astagina Resort Villa and Spa,Rp 3.402.936,Rp 1.692.918,Inclusive of taxes,8.4,"Legian, Bali"
Pondok Anyar Hotel,Rp 517.500,Rp 258.750,Inclusive of taxes,8.0,"Kuta, Bali"
"FuramaXclusive Resort & Villas, Ubud",Rp 1.350.000,Rp 796.500,Inclusive of taxes,8.5,"Abiansemal, Bali"
Nata Ubud,Rp 1.440.000,Rp 921.600,Inclusive of taxes,8.4,"Ubud, Bali"
The Bandha Hotel & Suites,Rp 5.687.147,Rp 3.903.924,Inclusive of taxes,8.9,"Legian, Bali"
Hotel Terrace at Kuta,Rp 757.052,Rp 459.000,Inclusive of taxes,8.7,"Legian, Bali"
Dedary Resort Ubud,Rp 2.400.000,Rp 1.560.000,Inclusive of taxes,8.7,"Tegallalang, Bali"
Adelia Residence,Rp 121.021,Rp 90.766,Inclusive of taxes,8.1,"West Denpasar, Bali"
La Berceuse Resort and Villa Nusa Dua by Taritiya Collection,Rp 2.153.844,Rp 1.184.614,Inclusive of taxes,8.5,"Nusa Dua, Bali"
Collection O 91300 Sunny Side Villa,Rp 304.486,Rp 237.499,Inclusive of taxes,n/a,"Seminyak, Bali"
Kutus Kutus Mas Ubud Villa,Rp 1.098.000,Rp 549.000,Inclusive of taxes,9.1,"Ubud, Bali"
Aniniraka Resort And Spa,Rp 835.248,Rp 765.000,Inclusive of taxes,8.5,"Sayan, Bali"
Vico Hotel,Rp 178.860,Rp 134.145,Inclusive of taxes,7.7,"Tanjung Benoa, Bali"
Segara Sadhu Inn Kuta,Rp 270.000,Rp 118.800,Inclusive of taxes,8.0,"Poppies, Bali"
SenS Hotel and Spa,Rp 1.913.151,Rp 1.412.763,Inclusive of taxes,8.9,"Ubud, Bali"
Atta Mesari Ubud,Rp 3.285.799,Rp 1.642.900,Inclusive of taxes,8.5,"Ubud, Bali"
Anja Jimbaran,Rp 1.850.980,Rp 1.499.294,Inclusive of taxes,8.6,"Jimbaran, Bali"
The Pari Sudha,Rp 1.554.798,Rp 932.879,Inclusive of taxes,8.7,"Ubud, Bali"
Natya Tanah Lot,Rp 1.826.532,Rp 1.187.246,Inclusive of taxes,8.9,"Tanah Lot, Bali"
Manta Cottage Sea View Plus,Rp 1.000.000,Rp 750.000,Inclusive of taxes,8.4,"Nusa Penida, Bali"
Tira Vilagna Suites & Spa,Rp 7.830.000,Rp 5.872.500,Inclusive of taxes,9.4,"Kintamani, Bali"
The Niche Bali,Rp 440.000,Rp 330.000,Inclusive of taxes,8.3,"Legian, Bali"
Samana Residence Denpasar,Rp 390.000,Rp 292.500,Inclusive of taxes,8.3,"South Denpasar, Bali"
The Akasha Boutique Hotel,Rp 3.291.861,Rp 3.015.001,Inclusive of taxes,n/a,"Seminyak, Bali"
Fourteen Roses Boutique Hotel Kuta,Rp 810.000,Rp 518.400,Inclusive of taxes,8.1,"Legian, Bali"
Fourteen Roses Boutique Hotel Kuta,Rp 810.000,Rp 518.400,Inclusive of taxes,8.1,"Legian, Bali"
The Tiing Tejakula Villas,Rp 1.951.200,Rp 1.463.400,Inclusive of taxes,8.7,"Tejakula, Bali"
Sunrise Hotel Sanur,Rp 378.000,Rp 189.000,Inclusive of taxes,7.5,"Sanur, Bali"
M BOX SEMINYAK,Rp 133.333,Rp 100.000,Inclusive of taxes,8.6,"Seminyak, Bali"
OYO 1670 Likko Inn,Rp 282.831,Rp 220.608,Inclusive of taxes,7.9,"North Denpasar, Bali"
Avani Seminyak Bali Resort,Rp 2.747.959,Rp 2.335.765,Inclusive of taxes,n/a,"Seminyak, Bali"
Yulia Beach Inn Kuta,Rp 994.500,Rp 358.020,Inclusive of taxes,8.6,"Kuta, Bali"
Chillin Kuta Homestay,Rp 215.552,Rp 191.841,Inclusive of taxes,8.3,"Tuban, Bali"
Villa Puri Ayu,Rp 983.367,Rp 577.089,Inclusive of taxes,8.5,"Sanur, Bali"
The Nani,Rp 1.668.000,Rp 1.251.000,Inclusive of taxes,8.4,"Ubud, Bali"
Nirmala Hotel Jimbaran,Rp 554.400,Rp 230.076,Inclusive of taxes,7.5,"Jimbaran, Bali"
Eden The Residence,Rp 11.262.627,Rp 7.899.468,Inclusive of taxes,8.8,"Seminyak, Bali"
Zest Legian by Swiss-Belhotel International,Rp 606.667,Rp 455.000,Inclusive of taxes,9.0,"Legian, Bali"
Airis Luxury Villas & Spa,Rp 2.600.000,Rp 1.716.000,Inclusive of taxes,8.4,"Ungasan, Bali"
Alindra Villa,Rp 2.610.000,Rp 1.539.900,Inclusive of taxes,8.4,"Jimbaran, Bali"
Hotel Sentral Bali,Rp 196.267,Rp 147.200,Inclusive of taxes,7.8,"Singaraja, Bali"
La Cabane Bali,Rp 3.510.000,Rp 2.632.500,Inclusive of taxes,9.2,"Jimbaran, Bali"
Adi Dharma Hotel Kuta,Rp 1.020.000,Rp 663.000,Inclusive of taxes,8.5,"Kuta, Bali"
MATHIS Retreat,Rp 2.842.609,Rp 2.131.957,Inclusive of taxes,n/a,"Kedewatan, Bali"
Cicada Luxury Townhouses,Rp 4.207.536,Rp 3.671.999,Inclusive of taxes,8.6,"Seminyak, Bali"
OYO 90291 Vin Stay Petanu,Rp 499.255,Rp 389.419,Inclusive of taxes,7.4,"South Denpasar, Bali"
Amadea Resort & Villas Seminyak Bali,Rp 5.272.307,Rp 3.427.000,Inclusive of taxes,8.6,"Seminyak, Bali"
Adikara Renon,Rp 371.565,Rp 182.067,Inclusive of taxes,8.4,"South Denpasar, Bali"
Kedin's Inn,Rp 330.000,Rp 247.500,Inclusive of taxes,8.3,"Poppies, Bali"
The Bali Dream Villa Seminyak,Rp 3.793.724,Rp 2.835.002,Inclusive of taxes,8.8,"Seminyak, Bali"
Home 21 Bali,Rp 1.091.426,Rp 545.713,Inclusive of taxes,8.5,"Sanur, Bali"
The Salila Beach Resort Seminyak Bali,Rp 3.150.000,Rp 2.520.000,Inclusive of taxes,9.0,"Seminyak, Bali"
Ramayana Candidasa,Rp 3.893.750,Rp 1.199.275,Inclusive of taxes,8.7,"Candidasa, Bali"
Ossotel Legian,Rp 2.045.188,Rp 934.184,Inclusive of taxes,8.9,"Legian, Bali"
Easton Kuta,Rp 583.334,Rp 175.000,Inclusive of taxes,7.9,"Tuban, Bali"
Kak Garden Inn,Rp 340.000,Rp 187.000,Inclusive of taxes,8.7,"Kuta, Bali"
Visual Inn,Rp 220.313,Rp 165.235,Inclusive of taxes,9.3,"Nusa Penida, Bali"
The Kanjeng Hotel Kuta,Rp 269.304,Rp 218.136,Inclusive of taxes,5.6,"Kuta, Bali"
Restu Bali Hotel,Rp 141.067,Rp 105.800,Inclusive of taxes,8.4,"Legian, Bali"
The Alley City Hotel,Rp 320.000,Rp 240.000,Inclusive of taxes,8.3,"Sanur, Bali"
Dhyana Pura City Hotel,Rp 315.000,Rp 163.800,Inclusive of taxes,8.3,"Mengwi, Bali"
The Bale Villas Nusa Dua,Rp 8.419.500,Rp 5.893.650,Inclusive of taxes,8.5,"Nusa Dua Beach, Bali"
Wide Sands Beach Retreat,Rp 1.340.000,Rp 710.200,Inclusive of taxes,8.6,"Mendoyo, Bali"
Avisara Villa And Guesthouse,Rp 965.988,Rp 434.695,Inclusive of taxes,8.8,"Nusa Dua, Bali"
Awatara Boutique Resort,Rp 985.765,Rp 542.171,Inclusive of taxes,n/a,"Kedewatan, Bali"
Matahari House,Rp 450.000,Rp 202.500,Inclusive of taxes,8.2,"Kuta, Bali"
Sebrang Hill Bungalow,Rp 300.000,Rp 225.000,Inclusive of taxes,9.3,"Nusa Penida, Bali"
OYO 91204 Napura Homestay,Rp 216.310,Rp 168.722,Inclusive of taxes,8.2,"West Denpasar, Bali"
Hidden Hills Villas,Rp 11.052.903,Rp 8.289.677,Inclusive of taxes,9.0,"Pecatu, Bali"
Hotel Gran Surya,Rp 549.019,Rp 411.764,Inclusive of taxes,8.3,"Seririt, Bali"
The Carik Bisma Ubud,Rp 810.000,Rp 437.400,Inclusive of taxes,n/a,"Monkey Forest, Bali"
The Haere – By Astadala,Rp 2.700.000,Rp 1.890.000,Inclusive of taxes,8.2,"Seminyak, Bali"
Rama Residence Padma,Rp 3.057.933,Rp 1.333.801,Inclusive of taxes,8.9,"Legian, Bali"
Batukaru Garden 5 Bali Sevilla Residence,Rp 253.200,Rp 189.900,Inclusive of taxes,8.9,"Canggu, Bali"
Grandmas Plus Hotel Airport,Rp 3.555.555,Rp 1.564.444,Inclusive of taxes,8.8,"Tuban, Bali"
Nirwana Beach & Resort,Rp 2.208.960,Rp 1.656.720,Inclusive of taxes,8.7,"Candidasa, Bali"
Villa Essence Seminyak,Rp 5.066.667,Rp 3.800.000,Inclusive of taxes,n/a,"Seminyak, Bali"
Ila Villa Ubud,Rp 696.667,Rp 522.500,Inclusive of taxes,8.6,"Ubud, Bali"
Cozy Residence Wedasari Bali,Rp 202.400,Rp 101.200,Inclusive of taxes,8.0,"West Denpasar, Bali"
OYO 2280 Wisma Guntur Ii,Rp 139.949,Rp 109.160,Inclusive of taxes,8.2,"East Denpasar, Bali"
Febri's Hotel & Spa,Rp 795.340,Rp 596.505,Inclusive of taxes,8.8,"Kuta, Bali"
OYO 1489 Simona Hotel,Rp 222.756,Rp 140.336,Inclusive of taxes,6.9,"Canggu, Bali"
Hotel Vila Lumbung,Rp 1.170.000,Rp 924.300,Inclusive of taxes,8.1,"Seminyak, Bali"
Villa Mandi Ubud,Rp 1.745.000,Rp 325.093,Inclusive of taxes,8.3,"Ubud, Bali"
Grand Asahan House,Rp 202.667,Rp 152.000,Inclusive of taxes,8.3,"West Denpasar, Bali"
Taman Surgawi Resort & Spa,Rp 780.000,Rp 585.000,Inclusive of taxes,8.8,"Amlapura, Bali"
Hotel Gianyar,Rp 190.000,Rp 142.500,Inclusive of taxes,8.0,"Gianyar Kota, Bali"
Swahita Ubud,Rp 1.339.255,Rp 1.049.999,Inclusive of taxes,8.8,"Ubud, Bali"
Bali Summer Hotel,Rp 560.461,Rp 253.126,Inclusive of taxes,7.7,"Kuta, Bali"
Amalfi Hotel Seminyak,Rp 824.367,Rp 667.737,Inclusive of taxes,8.6,"Seminyak, Bali"
OYO 1433 Homestay Rumahku,Rp 353.844,Rp 222.922,Inclusive of taxes,7.8,"Kuta, Bali"
Taman Ayu 212,Rp 411.667,Rp 308.750,Inclusive of taxes,8.6,"South Denpasar, Bali"
Cattleya Pool Suite - Seminyak by Marbella,Rp 1.235.000,Rp 926.250,Inclusive of taxes,8.4,"Seminyak, Bali"
Sea Terras Suite And Luxury,Rp 1.305.000,Rp 717.750,Inclusive of taxes,8.7,"Nusa Penida, Bali"
Legian Paradiso Hotel,Rp 619.230,Rp 393.335,Inclusive of taxes,8.0,"Legian, Bali"
Jay’s Villa Umalas,Rp 1.800.000,Rp 936.000,Inclusive of taxes,8.2,"Umalas, Bali"
"Alam Ubud Culture, Environment Villas & Residences",Rp 3.600.000,Rp 1.260.000,Inclusive of taxes,8.6,"Tegallalang, Bali"
Suites by Watermark Hotel and Spa,Rp 3.070.010,Rp 1.535.005,Inclusive of taxes,9.0,"Jimbaran, Bali"
Hotel Mahajaya,Rp 241.190,Rp 209.835,Inclusive of taxes,7.7,"North Denpasar, Bali"
OYO 90690 Pondok Dukuh,Rp 126.922,Rp 98.999,Inclusive of taxes,n/a,"Nusa Dua, Bali"
OYO 1051 De Loran Hotel,Rp 540.573,Rp 421.647,Inclusive of taxes,8.5,"Seririt, Bali"
Jimbarwana Hotel,Rp 696.667,Rp 522.500,Inclusive of taxes,n/a,"Negara, Bali"
The Aromas of Bali Hotel & Residence,Rp 434.380,Rp 360.000,Inclusive of taxes,7.6,"Legian, Bali"
Visesa Ubud Resort,Rp 3.904.251,Rp 2.329.251,Inclusive of taxes,8.9,"Ubud, Bali"
Nusabay Menjangan WHM,Rp 3.572.346,Rp 1.250.321,Inclusive of taxes,9.3,"Menjangan, Bali"
Arana Suite,Rp 2.329.200,Rp 1.164.600,Inclusive of taxes,9.0,"Legian, Bali"
Dea Graha,Rp 226.667,Rp 170.000,Inclusive of taxes,8.1,"South Denpasar, Bali"
Taman Dharmawangsa Suites,Rp 3.178.058,Rp 1.645.000,Inclusive of taxes,n/a,"Nusa Dua, Bali"
Jani's Place Cottage,Rp 2.024.000,Rp 769.120,Inclusive of taxes,8.9,"Monkey Forest, Bali"
Taksu Nusa Dua Guest House,Rp 300.000,Rp 225.000,Inclusive of taxes,8.3,"Nusa Dua Beach, Bali"
OYO 1848 TB'S Homestay,Rp 298.959,Rp 188.344,Inclusive of taxes,7.8,"Sanur, Bali"
OYO 3975 Gita Inn,Rp 220.081,Rp 138.651,Inclusive of taxes,7.4,"North Denpasar, Bali"
diAtas by Art Cafe Bumbu Bali,Rp 733.332,Rp 549.999,Inclusive of taxes,8.2,"Nusa Dua, Bali"
Askara Villa,Rp 1.805.000,Rp 1.660.600,Inclusive of taxes,n/a,"Canggu, Bali"
My Home @ Bali by Conary,Rp 294.000,Rp 220.500,Inclusive of taxes,8.4,"Kuta, Bali"
OYO 3156 Hotel Warta Dua,Rp 197.997,Rp 98.999,Inclusive of taxes,7.5,"North Denpasar, Bali"
Nugraha Lovina Seaview Resort and Spa,Rp 1.852.500,Rp 1.204.125,Inclusive of taxes,8.8,"Lovina, Bali"
Rijasa Agung Resort & Villas,Rp 1.766.667,Rp 1.325.000,Inclusive of taxes,8.8,"Payangan, Bali"
Collection O 91125 Puri Dewa Bharata,Rp 251.674,Rp 158.555,Inclusive of taxes,7.0,"Jimbaran, Bali"
Kori Maharani Villas,Rp 906.572,Rp 622.404,Inclusive of taxes,8.3,"Gianyar Kota, Bali"
The Seiryu Boutique Villas,Rp 4.636.979,Rp 3.755.953,Inclusive of taxes,8.8,"Seminyak, Bali"
The Bali Dream Villa Canggu - CHSE Certified,Rp 5.146.819,Rp 3.465.001,Inclusive of taxes,n/a,"Canggu, Bali"
Balam Bali Villa,Rp 628.101,Rp 389.423,Inclusive of taxes,8.9,"Mengwi, Bali"
SPOT ON 2426 Hotel Aget Jaya Ii,Rp 124.137,Rp 96.827,Inclusive of taxes,7.4,"South Denpasar, Bali"
Kimono Hotel,Rp 337.500,Rp 168.750,Inclusive of taxes,7.1,"Kuta, Bali"
Agata Villas,Rp 9.161.796,Rp 3.226.541,Inclusive of taxes,7.3,"Seminyak, Bali"
Puri Bali Lovina,Rp 753.333,Rp 565.000,Inclusive of taxes,8.5,"Lovina, Bali"
Vije Boutique Resort and Spa,Rp 1.900.000,Rp 1.235.000,Inclusive of taxes,8.8,"Ubud, Bali"
Kejora Suites,Rp 2.580.000,Rp 1.935.000,Inclusive of taxes,7.4,"Sanur, Bali"
Villa Kumuda By Nakula,Rp 4.640.625,Rp 3.712.500,Inclusive of taxes,n/a,"Canggu, Bali"
Sumberkima Hill Private Villa Retreat,Rp 931.231,Rp 852.911,Inclusive of taxes,8.7,"Menjangan, Bali"
Core Hotel Benoa,Rp 631.800,Rp 385.398,Inclusive of taxes,8.5,"Tanjung Benoa, Bali"
Hotel Segara Mandala,Rp 337.500,Rp 303.750,Inclusive of taxes,7.7,"Negara, Bali"
Puri Payogan Resort,Rp 697.500,Rp 453.375,Inclusive of taxes,n/a,"Kedewatan, Bali"
Umasari Rice Terrace Villa,Rp 573.499,Rp 393.673,Inclusive of taxes,8.8,"Marga, Bali"
Mimpi Resort Menjangan,Rp 1.290.372,Rp 885.764,Inclusive of taxes,8.6,"Menjangan, Bali"
Bali Paradise City Hotel,Rp 720.000,Rp 266.400,Inclusive of taxes,7.6,"Kerobokan, Bali"
Asher Bali Transit,Rp 353.333,Rp 265.000,Inclusive of taxes,7.3,"Tuban, Bali"
Bali Caps Hostel,Rp 146.667,Rp 110.000,Inclusive of taxes,9.0,"Kuta, Bali"
Container Smart Stay,Rp 589.734,Rp 365.635,Inclusive of taxes,n/a,"Bedugul, Bali"
Seminyak Square Hotel,Rp 1.652.000,Rp 1.156.400,Inclusive of taxes,8.5,"Seminyak, Bali"
De Umah Bali - Eco Tradi Home,Rp 1.320.000,Rp 990.000,Inclusive of taxes,n/a,"Tembuku, Bali"
Trivara Kuta,Rp 380.000,Rp 285.000,Inclusive of taxes,8.7,"Tuban, Bali"
Canggu Village,Rp 1.999.999,Rp 1.499.999,Inclusive of taxes,8.9,"Canggu, Bali"
"Kuta Puri Bungalows, Villas and Resort",Rp 2.520.000,Rp 1.764.000,Inclusive of taxes,8.8,"Poppies, Bali"
Arkamara Dijiwa Ubud,Rp 6.792.831,Rp 5.094.623,Inclusive of taxes,8.9,"Ubud, Bali"
Munduk Heaven Luxury Villas,Rp 13.086.250,Rp 7.851.750,Inclusive of taxes,9.3,"Munduk, Bali"
Ubud Lestari Villa,Rp 1.198.471,Rp 715.000,Inclusive of taxes,8.8,"Ubud, Bali"
Ubud Village Hotel,Rp 1.696.651,Rp 1.164.616,Inclusive of taxes,8.8,"Monkey Forest, Bali"
Lumbini Luxury Villas and Spa,Rp 2.747.965,Rp 1.886.350,Inclusive of taxes,8.8,"Jimbaran, Bali"
Hotel Puriartha Ubud,Rp 749.999,Rp 389.999,Inclusive of taxes,8.4,"Ubud, Bali"
Pondok Sari Hotel,Rp 675.000,Rp 236.250,Inclusive of taxes,8.5,"Kuta, Bali"
Canggu Dream Village,Rp 3.150.900,Rp 1.575.450,Inclusive of taxes,8.4,"Canggu, Bali"
Taman Tirta Ayu Pool & Mansion,Rp 405.000,Rp 263.250,Inclusive of taxes,7.9,"Tuban, Bali"
